City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Arraial do Cabo,-22.9661,-42.0278,89.6,74,20,9.22,BR,1616946456
Vestmannaeyjar,63.4427,-20.2734,35.6,64,20,11.5,IS,1616946735
Natal,-5.795,-35.2094,87.8,66,40,5.75,BR,1616946737
Namatanai,-3.6667,152.4333,79.03,79,100,8.16,PG,1616946739
Kavaratti,10.5669,72.642,84.2,73,100,7.96,IN,1616946740
Triunfo,-29.9433,-51.7181,78.8,83,75,10.36,BR,1616946742
Shatin,39.8357,45.3019,31.01,68,5,2.57,AM,1616946744
Ust-Tsilma,65.441,52.1498,33.49,94,100,7.16,RU,1616946748
Roebourne,-20.7833,117.1333,87.08,49,7,10.6,AU,1616946749
Oddur,4.1213,43.8894,90.03,24,100,8.37,SO,1616946751
Hobart,-42.8794,147.3294,55.4,50,75,12.66,AU,1616946753
Torbay,47.6666,-52.7314,28.99,80,90,14.97,CA,1616946755
Rikitea,-23.1203,-134.9692,78.17,76,13,16.73,PF,1616946681
Dikson,73.5069,80.5464,-23.39,100,30,6.78,RU,1616946758
Albany,42.6001,-73.9662,50.0,82,100,13.73,US,1616946496
Saint George,37.1041,-113.5841,48.2,43,1,5.75,US,1616946762
East London,-33.0153,27.9116,66.2,68,20,10.36,ZA,1616946764
Mount Gambier,-37.8333,140.7667,55.4,94,90,6.91,AU,1616946540
Emmett,43.8735,-116.4993,50.0,75,1,7.45,US,1616946767
Punta Arenas,-53.15,-70.9167,50.0,50,0,28.77,CL,1616946501
Malinovskiy,61.1953,62.8397,28.87,91,92,11.79,RU,1616946770
Birin,26.8865,88.0718,71.6,64,20,1.14,NP,1616946772
Kīhei,20.785,-156.4656,71.6,83,20,13.8,US,1616946774
Busselton,-33.65,115.3333,60.01,90,0,8.43,AU,1616946734
Kungurtug,50.5994,97.5228,22.15,83,100,2.66,RU,1616946778
Saint Paul Harbor,57.79,-152.4072,35.6,30,1,13.8,US,1616946779
Rocha,-34.4833,-54.3333,69.17,84,80,8.97,UY,1616946626
Castro,-24.7911,-50.0119,78.55,58,17,7.7,BR,1616946784
Vaini,-21.2,-175.2,77.0,100,75,8.05,TO,1616946786
Kailua,21.4022,-157.7394,71.6,73,90,13.8,US,1616946705
Minchianabad,30.163,73.5685,85.37,12,0,7.09,PK,1616946790
Arlit,18.7369,7.3853,89.17,6,0,6.89,NE,1616946791
Yellowknife,62.456,-114.3525,14.0,62,75,12.66,CA,1616946540
San Borja,-14.8167,-66.85,71.29,91,100,6.44,BO,1616946795
Mataura,-46.1927,168.8643,53.01,97,100,2.68,NZ,1616946797
Lata,40.1629,-8.3327,75.99,35,44,7.74,PT,1616946799
Beloha,-25.1667,45.05,73.24,79,48,7.0,MG,1616946800
Ushuaia,-54.8,-68.3,46.4,57,40,26.46,AR,1616946689
Saint-Philippe,-21.3585,55.7679,80.6,78,40,6.91,RE,1616946804
Tasiilaq,65.6145,-37.6368,19.4,53,20,6.91,GL,1616946806
Hithadhoo,-0.6,73.0833,82.38,76,100,18.23,MV,1616946807
Puerto Ayora,-0.7393,-90.3518,81.0,78,40,9.22,EC,1616946809
Oriximiná,-1.7656,-55.8661,85.84,64,84,4.0,BR,1616946811
Hilo,19.7297,-155.09,66.2,77,90,6.91,US,1616946778
Katherine,-14.4667,132.2667,75.2,83,100,6.91,AU,1616946814
Lebu,-37.6167,-73.65,63.3,65,5,15.82,CL,1616946816
Amparafaravola,-17.5833,48.2167,71.22,84,26,6.33,MG,1616946818
Udachny,66.4167,112.4,8.01,98,99,3.62,RU,1616946820
Ergani,38.2653,39.7621,53.6,30,0,9.22,TR,1616946822
Rivne,50.6231,26.2274,39.2,87,40,11.18,UA,1616946824
Caravelas,-17.7125,-39.2481,88.02,50,0,11.92,BR,1616946825
Fairbanks,64.8378,-147.7164,5.0,72,90,5.75,US,1616946642
Ixtapa,20.7,-105.2,66.2,68,40,4.61,MX,1616946829
Esperance,-33.8667,121.9,68.0,83,0,8.05,AU,1616946831
Puerto Colombia,10.9878,-74.9547,86.0,62,0,9.22,CO,1616946832
Port Hardy,50.6996,-127.4199,39.2,93,90,5.75,CA,1616946834
Kashgar,39.4547,75.9797,59.0,29,75,11.18,CN,1616946836
Avarua,-21.2078,-159.775,80.6,78,75,11.5,CK,1616946838
Port Moresby,-9.4431,147.1797,78.04,84,100,3.04,PG,1616946840
Lavrentiya,65.5833,-171.0,1.92,96,100,13.35,RU,1616946841
Bredasdorp,-34.5322,20.0403,68.0,64,100,20.71,ZA,1616946843
Yulara,-25.2406,130.9889,77.0,50,5,8.05,AU,1616946721
Makakilo City,21.3469,-158.0858,71.6,68,1,10.36,US,1616946847
Nikolskoye,59.7035,30.7861,46.0,70,0,8.95,RU,1616946850
Bronnitsy,55.4194,38.2708,42.8,52,0,2.24,RU,1616946852
Havre-St-Pierre,50.2334,-63.5986,28.4,69,1,9.22,CA,1616946854
Iqaluit,63.7506,-68.5145,10.4,72,90,19.57,CA,1616946856
San Vicente,-26.6167,-54.1333,67.57,97,100,1.05,AR,1616946858
Terra Santa,-2.1042,-56.4869,85.95,65,99,4.81,BR,1616946859
Geraldton,-28.7667,114.6,69.8,78,40,5.75,AU,1616946861
Masvingo,-20.0637,30.8277,65.75,75,8,8.55,ZW,1616946863
Mitsamiouli,-11.3847,43.2844,83.97,68,37,4.76,KM,1616946865
Sawtell,-30.3833,153.1,64.4,94,75,4.61,AU,1616946867
Quelimane,-17.8786,36.8883,80.6,83,75,5.75,MZ,1616946868
Portland,45.5234,-122.6762,46.99,76,75,9.22,US,1616946305
Cabo San Lucas,22.8909,-109.9124,73.0,55,75,2.93,MX,1616946666
Barcelos,41.5388,-8.6151,73.99,46,0,6.91,PT,1616946874
Haiger,50.75,8.2167,54.0,50,20,11.5,DE,1616946875
Atuona,-9.8,-139.0333,81.1,70,100,18.21,PF,1616946877
Barrow,71.2906,-156.7887,-29.2,75,40,9.22,US,1616946834
Tres Arroyos,-38.3739,-60.2798,65.46,68,99,6.53,AR,1616946882
Leningradskiy,69.3833,178.4167,-18.27,94,20,3.67,RU,1616946884
Matagami,49.7502,-77.6328,32.0,100,90,4.61,CA,1616946886
Manado,1.487,124.8455,77.0,94,20,2.3,ID,1616946843
Tucupita,9.0622,-62.051,84.52,65,56,7.14,VE,1616946889
Saskylakh,71.9167,114.0833,-4.11,99,97,2.04,RU,1616946891
Padang,-0.9492,100.3543,75.2,94,40,5.75,ID,1616946728
New Norfolk,-42.7826,147.0587,55.0,65,60,3.0,AU,1616946894
Port Alfred,-33.5906,26.891,66.43,67,98,17.56,ZA,1616946896
Nome,64.5011,-165.4064,8.6,78,90,23.02,US,1616946621
Marawi,7.9986,124.2928,79.0,87,97,3.0,PH,1616946900
Bacolod City,10.6667,122.95,79.52,80,95,7.76,PH,1616946901
Camacha,33.0833,-16.3333,66.2,72,40,8.05,PT,1616946903
Fortuna,40.5982,-124.1573,39.2,100,90,4.61,US,1616946631
Angoche,-16.2325,39.9086,79.48,82,100,6.42,MZ,1616946907
Jamestown,42.097,-79.2353,53.6,100,90,4.09,US,1616946909
Ţahţā,26.7693,31.5021,75.2,19,0,20.71,EG,1616946910
Tuktoyaktuk,69.4541,-133.0374,-25.6,75,40,10.36,CA,1616946912
Khatanga,71.9667,102.5,-1.48,98,99,6.91,RU,1616946914
Port Macquarie,-31.4333,152.9167,64.99,99,89,4.56,AU,1616946916
Tiksi,71.6872,128.8694,2.28,99,100,1.01,RU,1616946919
Laguna,38.421,-121.4238,57.99,67,1,1.5,US,1616946921
Upernavik,72.7868,-56.1549,-17.12,79,91,5.01,GL,1616946923
Codrington,-38.2667,141.9667,55.9,93,19,5.84,AU,1616946925
Karratha,-20.7377,116.8463,86.79,52,6,9.15,AU,1616946927
